ID,"Zeměpisná délka A","Zeměpisná délka B","Zeměpisná šířka A","Zeměpisná šířka B","Výška A","Výška B","Zisk antény A - DBI","Zisk antény B - DBI","Kmitočet A - MHz","Kmitočet B - MHz","Šířka zabraného pásma A","Šířka zabraného pásma B","Střední výkon A","Střední výkon B",Polarizace,Vzdálenost
13029,18.2414,18.2589,49.8408,49.8278,35,40,50.5,50.5,83625,73625,1000,1000,13,13,Vertikální,1.92
13030,18.3819,18.3917,49.7922,49.7894,15,55,43.5,43.5,84625,74625,1000,1000,13,13,Vertikální,0.76
13031,15.9433,15.9636,49.8592,49.8228,35,35,50.5,50.5,71500,81500,750,750,18,18,Vertikální,4.3
13032,18.0808,18.0522,50.0028,50.0361,20,30,50.5,50.5,84625,74625,1000,1000,20,20,Vertikální,4.23
13033,18.3517,18.3033,49.8186,49.7947,20,33,50.5,50.5,84625,74625,1000,1000,14,14,Vertikální,4.37
13034,18.3175,18.305,49.8831,49.8508,26,27,43.8,50.5,84625,74625,1000,1000,15,15,Vertikální,3.69
13035,18.4033,18.4131,49.7969,49.8017,40,25,43.8,43.8,74625,84625,1000,1000,13,13,Vertikální,0.87
13036,18.4783,18.4544,49.8231,49.7961,80,39,50.5,50.5,84625,74625,1000,1000,14,14,Vertikální,3.45
13037,16.425,16.3953,48.9411,48.9072,30,30,50.5,50.5,84625,74625,1000,1000,13,13,Vertikální,4.35
13038,16.0764,16.0622,48.8514,48.8514,30,35,50.5,46,72125,82125,2000,2000,10,10,Vertikální,1.04
13039,16.2792,16.2742,48.7739,48.7733,22,12,43.8,43.8,84625,74625,1000,1000,13,13,Vertikální,0.37
13040,13.3917,13.3828,50.2128,50.2228,10,30,43.5,43.5,71250,81250,250,250,14,14,Vertikální,1.28
13041,15.6347,15.5792,48.9033,48.9139,30,30,50.5,50.5,71625,81625,1000,1000,18,18,Vertikální,4.23
13042,16.8078,16.8092,49.3853,49.3853,16,10,39.6,46,84625,74625,1000,1000,13,13,Vertikální,0.1
13043,16.6128,16.5814,49.4775,49.5047,15,30,50.5,50.5,75750,85750,250,250,15,15,Vertikální,3.78
